Councillor,Profile pic,Wikipedia,Biography
Denzil Minnan-Wong,,https://en.wikipedia.org/wiki/Denzil_Minnan-Wong,"Denzil Minnan-Wong was the statutory deputy mayor of Toronto from 2014 to 2022, representing North York. Minnan-Wong served on Toronto City Council from 1995 to 2022, representing a succession of wards in the Don Mills."
Dianne Saxe,,https://en.wikipedia.org/wiki/Dianne_Saxe,Dianne Saxe is a Canadian lawyer and politician who was elected to represent Ward 11 University—Rosedale on Toronto City Council following the 2022 municipal election. She was deputy leader of the Green Party of Ontario (GPO) from 2020 to 2022.
Doug Ford,,https://en.wikipedia.org/wiki/Doug_Ford,Douglas Robert Ford Jr. served as councillor for Ward 2 from 2010 to 2014. He has served as the 26th and current premier of Ontario since June 2018 and leader of the Progressive Conservative (PC) Party since March 2018.
Doug Holyday,,https://en.wikipedia.org/wiki/Doug_Holyday,"Douglas Charles Holyday served as the last mayor of Etobicoke from 1994 to 1998 and the deputy mayor of Toronto from 2010 to 2013. After his term as mayor, he was elected to Toronto City Council, where he served until 2013, when he was elected as MPP."
Frances Nunziata,,https://en.wikipedia.org/wiki/Frances_Nunziata,"Frances Nunziata has served as the speaker of Toronto City Council since December 1, 2010. Nunziata presently represents Ward 5 York South—Weston."
Frank Di Giorgio,,https://en.wikipedia.org/wiki/Frank_Di_Giorgio,"Frank Di Giorgio sat on Toronto City Council and represented Ward 12 York South—Weston from 2000 to 2018. Prior to the amalgamation of Toronto, Di Giorgio was a member of the North York City Council from 1985 to 1997, representing Ward 4."
Gary Crawford,,https://en.wikipedia.org/wiki/Gary_Crawford_(politician),Gary Crawford was elected to Toronto City Council in the 2010 city council election to succeed Brian Ashton in Ward 36. Crawford resigned his city council seat in 2023.
Giorgio Mammoliti,,https://en.wikipedia.org/wiki/Giorgio_Mammoliti,Giorgio Mammoliti represented Ward 7 York West on the Toronto City Council from 2000 to 2018. He ran for mayor of Toronto in 2010 and 2023.
Glenn De Baeremaeker,,https://en.wikipedia.org/wiki/Glenn_De_Baeremaeker,"Glenn De Baeremaeker represented Ward 38, one of the two former Scarborough Centre wards from 2003-2018. In 2014 he was appointed Deputy Mayor East and a member of the Toronto Region Conservation Authority."
Gloria Lindsay Luby,,https://en.wikipedia.org/wiki/Gloria_Lindsay_Luby,"Gloria Lindsay Luby was a Toronto city councillor and Deputy Speaker of Toronto City Council in Toronto, Ontario, Canada for Ward 4 Etobicoke Centre. Luby is also a former chair of the Government Management Committee. "
Gord Perks,,https://en.wikipedia.org/wiki/Gord_Perks,Gordon Perks is a politician and environmental activist who has served on Toronto City Council since 2006. Perks currently represents Ward 4 Parkdale—High Park.
Howard Moscoe,,https://en.wikipedia.org/wiki/Howard_Moscoe,"Howard Moscoe represented Ward 15 in the western part of Eglinton-Lawrence. Moscoe is a member of the New Democratic Party. On August 31, 2010, after 31 years as an elected municipal politician, Moscoe announced his retirement from city council."
Jamaal Myers,,https://en.wikipedia.org/wiki/Jamaal_Myers,"Jamaal Michael Anthony Myers is a lawyer and politician who has been the chair of the TTC since August 11, 2023. Myers has represented Ward 23 Scarborough North on Toronto City Council since November 15, 2022."
James Maloney,,https://en.wikipedia.org/wiki/James_Maloney_(Canadian_politician),James Maloney was appointed to Toronto City Council in 2014 to represent Ward 5 (Etobicoke—Lakeshore) as interim councillor following the resignation of Peter Milczyn from the council.
James Pasternak,,https://en.wikipedia.org/wiki/James_Pasternak,"James Pasternak represents Ward 6 York Centre on the Toronto City Council. Pasternak has served on council since he was elected in 2010, representing Ward 10 (later amalgamated into Ward 6). He was a Toronto District School Board trustee before his election to council."
Janet Davis,,https://en.wikipedia.org/wiki/Janet_Davis,"Janet Davis represented Ward 31 Beaches-East York (now Ward 19), the northern portion of Beaches—East York, from 2003 to 2018."
Jaye Robinson,,https://en.wikipedia.org/wiki/Jaye_Robinson,"Janet Joy ""Jaye"" Robinson served as a member of the Toronto City Council from 2010 to 2024. She was the chair of the TTC from 2018 to 2022. Robinson represented Ward 15 Don Valley West."
Jennifer McKelvie,,https://en.wikipedia.org/wiki/Jennifer_McKelvie,"Jennifer McKelvie is a politician and geoscientist who has served as deputy mayor of Toronto since November 16, 2022, representing Scarborough. McKelvie has represented Ward 25 Scarborough—Rouge Park on the Toronto City Council since 2018."
Jim Hart,,https://en.wikipedia.org/wiki/Jim_Hart_(Ontario_politician),"Jim Hart is the current chair of the Toronto Police Services Board since October 22, 2019. Hart served as Toronto city councillor from 2017 to 2018, representing Ward 44 Scarborough East, and was a former general manager of Toronto Parks, Forestry & Recreation."
Jim Karygiannis,,https://en.wikipedia.org/wiki/Jim_Karygiannis,"James Karygiannis served in the House of Commons of Canada as a Liberal MP from 1988 to 2014, and as member of the Toronto City Council from 2014 until 2020, when his seat was vacated due to campaign spending violations."
Joe Cressy,,https://en.wikipedia.org/wiki/Joe_Cressy,"Joseph Cressy is a former politician and activist who served on the Toronto City Council from 2014 to 2022. Cressy represented Ward 10 Spadina—Fort York, and was the chair of the Toronto Board of Health."
Joe Mihevc,,https://en.wikipedia.org/wiki/Joe_Mihevc,"Joe Mihevc was appointed to represent Ward 10 Spadina—Fort York on Toronto City Council on June 1, 2022. He was previously elected to represent Ward 21 St. Paul's from 2000 to 2018, Ward 28 York Eglinton from 1998 to 2000 and was a York City Councillor from 1991 to 1997."
Joe Pantalone,,https://en.wikipedia.org/wiki/Joe_Pantalone,"Joe Pantalone served on Toronto City Council and Metro Council from 1980 to 2010. Pantalone was the deputy mayor of Toronto from 2003 to 2010, and represented the Trinity area as a councillor."
John Campbell,,https://en.wikipedia.org/wiki/John_Campbell_(Ontario_politician),"John Campbell represented Ward 4 (Etobicoke Centre) from 2014 to 2018. During his term of office he served on many council committees and city agencies including the Budget Committee, the Planning Growth Management Committee and the Toronto Transit Commission."
John Filion,,https://en.wikipedia.org/wiki/John_Filion,"John Filion represented Ward 18 Willowdale. He retired in 2022, after 40 years in municipal politics."
John Parker,,https://en.wikipedia.org/wiki/John_Parker_(Canadian_politician),"John L. Parker was a Progressive Conservative member of the Legislative Assembly of Ontario for York East from 1995 to 1999. From 2006 to 2014 he was a Toronto city councillor for Ward 26, which includes the neighbourhoods of Leaside and Flemingdon Park."
John Tory,,https://en.wikipedia.org/wiki/John_Tory,"John Howard Tory is a broadcaster, businessman, and former politician who served as the 65th mayor of Toronto from 2014 until his resignation in 2023. He served as leader of the PC Party of Ontario from 2004 to 2009."
Jon Burnside,,https://en.wikipedia.org/wiki/Jon_Burnside,Jon Burnside is a politician and former police officer who was elected to represent Ward 16 Don Valley East on Toronto City Council in the 2022 municipal election. Burnside was the chair of the TTC from 2022 to 2023 and previously represented Ward 26 Don Valley West from 2014 to 2018.
Jonathan Tsao,,https://en.wikipedia.org/wiki/Jonathan_Tsao,Jonathan Tsao represented Ward 33 Don Valley East in 2018 following the resignation of incumbent councillor Shelley Carroll.
Josh Colle,,https://en.wikipedia.org/wiki/Josh_Colle,Josh Colle was the councillor for Ward 15 on Toronto City Council for the years 2010-2018. Colle was the Chair of the Toronto Transit Commission during the period 2014-2018.
Josh Matlow,,https://en.wikipedia.org/wiki/Josh_Matlow,Josh Matlow has served on the Toronto City Council representing Ward 12 Toronto—St. Paul's since 2010. Matlow was a Toronto District School Board (TDSB) trustee between 2003 and 2010 before his election to council representing St. Paul's.
Justin J. Di Ciano,,https://en.wikipedia.org/wiki/Justin_Di_Ciano,Justin Di Ciano represented former Ward 5 Etobicoke—Lakeshore on Toronto City Council as a councillor for the years 2014–2018.
Karen Stintz,,https://en.wikipedia.org/wiki/Karen_Stintz,Karen Stintz represented Ward 16 Eglinton—Lawrence on Toronto City Council from 2003 to 2014 and was the chair of the TTC from 2010 to 2014.
Kristyn Wong-Tam,,https://en.wikipedia.org/wiki/Kristyn_Wong-Tam,Kristyn Wong-Tam served on Toronto City Council from 2010 to 2022 for Ward 27 Toronto Centre-Rosedale and later Ward 13 Toronto Centre. They have represented Toronto Centre as a member of the Ontario NDP since 2022.
Kyle Rae,,https://en.wikipedia.org/wiki/Kyle_Rae,"Kyle Rae is a Canadian consultant and former politician. Rae was a member of Toronto City Council from 1991 to 2010, representing Ward 6 in the old city from 1991 to 1997 and Ward 27 Toronto Centre-Rosedale following the municipal amalgamation of Toronto in 1997."
Lily Cheng,,https://en.wikipedia.org/wiki/Lily_Cheng,"Lily Cheng was elected to represent Ward 18 Willowdale on Toronto City Council in the 2022 Toronto municipal election. Prior to her election in 2022, she also served as the executive director of the NeighbourLink North York food bank."
Lucy Troisi,,https://en.wikipedia.org/wiki/Lucy_Troisi,"Lucy Troisi was appointed to represent Ward 28 Toronto Centre-Rosedale on Toronto City Council on November 2, 2017 to December 1, 2018."
Maria Augimeri,,https://en.wikipedia.org/wiki/Maria_Augimeri,"Maria Augimeri she served as a local politician in Toronto from 1985 to 2018, holding office as a school board trustee, and as a council member in North York, Metropolitan Toronto, and on Toronto City Council. In 2019, Augimeri stood as the New Democratic candidate for the riding of Humber River-Black Creek."
Mark Grimes,,https://en.wikipedia.org/wiki/Mark_Grimes,Mark Grimes served on Toronto City Council from 2003 to 2022. Grimes represented Etobicoke—Lakeshore when it was Ward 6 until 2018 and Ward 3 onwards.
Mary Fragedakis,,https://en.wikipedia.org/wiki/Mary_Fragedakis,Mary Fragedakis served as the Toronto city councillor for Ward 29 Toronto—Danforth from 2010 to 2018. She was also the Ontario Liberal Party candidate for Toronto—Danforth in the 2022 provincial election.
Mary-Margaret McMahon,,https://en.wikipedia.org/wiki/Mary-Margaret_McMahon,"Mary-Margaret McMahon was elected MPP for the Ontario Liberal Party in Beaches—East York in the June 2022 provincial election. Previously, McMahon served on the Toronto City Council from 2010 to 2018, representing Ward 32 Beaches—East York."
Michael Ford,,https://en.wikipedia.org/wiki/Michael_Ford_(politician),Michael Douglas Ford has represented York South—Weston in the Legislative Assembly of Ontario as a PC Party member since 2022. Ford previously served on Toronto City Council from 2016 to 2022.
Michael Thompson,,https://en.wikipedia.org/wiki/Michael_Thompson_(Canadian_politician),"Michael Thompson is a Canadian politician who has been a Toronto city councillor since 2003. He currently represents Ward 21 Scarborough Centre. Prior to being elected as a city councillor, he worked in the financial services industry."
Michael Walker,,https://en.wikipedia.org/wiki/Michael_Walker_(politician),"Michael Walker was a Toronto, Ontario city councillor from 1982 to 2010 for Ward 22 St. Paul's East."
Michelle Holland,,https://en.wikipedia.org/wiki/Michelle_Holland,"Michelle Holland, formerly known as Michelle Berardinetti, was elected to Toronto City Council in the 2010 city council election, defeating Adrian Heaps in Ward 35."
Miganoush Megardichian,,https://en.wikipedia.org/wiki/Migan_Megardichian,"Miganoush ""Migan"" Megardichian was appointed to Toronto City Council on June 26, 2018. She represented what was designated Ward 41, Scarborough—Rouge River, which had been vacant since the resignation of Chin Lee in May 2018."
Mike Colle,,https://en.wikipedia.org/wiki/Michael_Colle,"Michael Colle has served as deputy mayor of Toronto since 2023, representing North York. He was elected to represent Ward 8 Eglinton—Lawrence on Toronto City Council in the 2018 election."
Mike Del Grande,,https://en.wikipedia.org/wiki/Mike_Del_Grande,Michael Anthony Del Grande served as Toronto city councillor from 2003 to 2014 for Ward 39 Scarborough—Agincourt.
Mike Feldman,,https://en.wikipedia.org/wiki/Mike_Feldman,"Michael C. Feldman was a municipal councillor from 1992 to 2010, and served as deputy mayor from 2003 to 2006."
Mike Layton,,https://en.wikipedia.org/wiki/Mike_Layton,Michael Layton served on Toronto City Council from 2010 until 2022. Layton most recently represented Ward 11 University—Rosedale. He was first elected in the 2010 municipal election in Ward 19 Trinity—Spadina.
Neethan Shan,,https://en.wikipedia.org/wiki/Neethan_Shan,Neethan Shanmugarajah (Neethan Shan) represented Ward 42 Scarborough—Rouge River on Toronto City Council from February 2017 to November 2018.
Nick Mantas,,https://en.wikipedia.org/wiki/Nick_Mantas,"Nick Mantas currently sits as a member of the Toronto City Council for Ward 22 Scarborough—Agincourt. Prior to his election, Mantas worked as a policy advisor and civil servant in the City of Toronto and federal government."
Norman Kelly,,https://en.wikipedia.org/wiki/Norm_Kelly,Norman Kelly represented Ward 40 Scarborough—Agincourt from 2000 to 2018 and served as deputy mayor of Toronto from 2013 to 2014. Kelly has been involved in Scarborough politics since the mid 1970s.
Olivia Chow,,https://en.wikipedia.org/wiki/Olivia_Chow,"Olivia Chow has been the 66th mayor of Toronto since July 12, 2023. Previously, Chow served as the NDP MP for Trinity—Spadina from 2006 to 2014, and was a councillor on the Metro Toronto Council from 1992 to the 1998 amalgamation followed by Toronto City Council until 2005."
Pam McConnell,,https://en.wikipedia.org/wiki/Pam_McConnell,"Pamela Margaret McConnell was first elected to the Metro Toronto Council in 1994, representing a series of downtown Toronto wards until 2017. She served as a deputy mayor of Toronto, representing Toronto and East York from 2014 to 2017."
Parthi Kandavel,,https://en.wikipedia.org/wiki/Parthi_Kandavel,"Parthi Kandavel is a teacher and politician who represents Ward 20 Scarborough Southwest on Toronto City Council. He was elected during a by-election on November 30, 2023."
Paul Ainslie,yes,https://en.wikipedia.org/wiki/Paul_Ainslie,"Paul Ainslie was appointed as an interim councillor in Ward 41 Scarborough—Rouge River in 2006, and was then elected as the councillor for Ward 43 in Scarborough East. On October 22, 2018 he was elected as Councillor for Ward 24 Scarborough-Guildwood."
Paula Fletcher,,https://en.wikipedia.org/wiki/Paula_Fletcher,Paula Fletcher has served on Toronto City Council since 2003. She currently represents Ward 14 Toronto—Danforth.
Peter Leon,,https://en.wikipedia.org/wiki/Peter_Leon,"Peter Leon was appointed to Toronto City Council on October 10, 2013 to succeed Doug Holyday in Ward 3 Etobicoke Centre."
Peter Milczyn,,https://en.wikipedia.org/wiki/Peter_Milczyn,"Peter Zygmunt Milczyn was a Liberal member of the Legislative Assembly of Ontario from 2014 to 2018 who represented the west Toronto riding of Etobicoke—Lakeshore. He was Minister of Housing from 2017 to 2018. Previously, he was a Toronto city councillor from 2000 to 2014."
Raymond Cho,,https://en.wikipedia.org/wiki/Raymond_Cho_(politician),"Raymond Sung Joon Cho's political career began in 1991 when he was first elected to the Metro Toronto Council. Following amalgamation in 1998, Cho ran for Toronto City Council, where he re-elected eight times until resigning in 2016 following a successful run for Scarborough—Rouge River in a provincial by-election."
Rob Ford,,https://en.wikipedia.org/wiki/Rob_Ford,"Robert Bruce Ford was a politician and businessman who served as the 64th mayor of Toronto from 2010 to 2014. Before and after his term as mayor, Ford was a city councillor representing Ward 2 Etobicoke North."
Robin Buxton Potts,,https://en.wikipedia.org/wiki/Robin_Buxton_Potts,Robin Buxton Potts sat on Toronto City Council in 2022. She was appointed by council to represent Ward 13 Toronto Centre following the resignation of Kristyn Wong-Tam.
Ron Moeser,,https://en.wikipedia.org/wiki/Ron_Moeser,Ronald Moeser was a city councillor for Ward 44 in Scarborough from 1988 to 1997 and then a councillor for the amalgamated city of Toronto from 1998 to 2003 and then 2006 until his death in 2017.
Rose Milczyn,,https://www.toronto.com/news/council/rose-milczyn-appointed-ward-1-etobicoke-north-city-councillor-until-november/article_a21b31c9-b260-53db-a7d2-0b7326199f66.html?,"Rose Milczyn was interim city councillor for Ward 1 Etobicoke North in 2022, replacing Michael Ford."
Sandra Bussin,,https://en.wikipedia.org/wiki/Sandra_Bussin,Sandra Bussin was a municipal councillor for Toronto City Council for Ward 32 in east Toronto from 1998 to 2010. From 2006 to 2010 she was Speaker of Toronto City Council.
Sarah Doucette,,https://en.wikipedia.org/wiki/Sarah_Doucette,Sarah Doucette served on Toronto City Council from 2010 to 2018 for Ward 13 Parkdale–High Park.
Shelley Carroll,,https://en.wikipedia.org/wiki/Shelley_Carroll,Shelley Carroll has served on Toronto City Council since 2003. Carroll has been the chair of the Budget Committee since 2023 and represents Ward 17 Don Valley North.
Stephen Holyday,,https://en.wikipedia.org/wiki/Stephen_Holyday,Stephen Holyday has served on Toronto City Council since 2014. He is currently the deputy speaker and represents Ward 2 Etobicoke Centre.
Suzan Hall,,https://en.wikipedia.org/wiki/Suzan_Hall,Suzan Hall was city councillor in Toronto for Ward 1 Etobicoke North from 2000 to 2010.
Vincent Crisanti,,https://en.wikipedia.org/wiki/Vincent_Crisanti,Vincent Crisanti was elected to represent Ward 1 Etobicoke North on Toronto City Council following the 2022 municipal election. He previously represented a former ward by the same name from 2010 to 2018. He was member of the TTC board from 2010 to 2012.
